Player,Team,Pos,Current ADP
Brock Purdy,SF,QB,176.5
Michael Gallup,DAL,WR,177
Nico Collins,HOU,WR,177.3
Jalin Hyatt,NYG,WR,177.8
Kyler Murray,ARI,QB,178.8
Jonathan Mingo,CAR,WR,179.3
Kenny Pickett,PIT,QB,180
Graham Gano,NYG,K9,180.3
New Orleans Saints,DST,DS,180.5
Rashee Rice,KC,WR,183
Jaylen Warren,PIT,RB,184
Tank Bigsby,JAC,RB,184.5
K.J. Osborn,MIN,WR,185.3
Cordarrelle Patterson,ATL,RB,185.5
Jordan Love,GB,QB,186.5
Romeo Doubs,GB,WR,188
DJ Chark Jr.,CAR,WR,189.5
Leonard Fournette,,RB,191.3
C.J. Stroud,HOU,QB,191.5
Matt Gay,IND,K1,191.8
Mike Gesicki,NE,TE,192
Michael Mayer,LV,TE,192
Brandon McManus,JAC,K1,192.8
Seattle Seahawks,DST,DS,195
Green Bay Packers,DST,DS,196
Taysom Hill,NO,TE,196.8
Dawson Knox,BUF,TE,169.7
Chuba Hubbard,CAR,RB,205
Clyde Edwards-Helaire,KC,RB,205.3
Marquez Valdes-Scantling,KC,WR,205.8
Washington Commanders,DST,DS,206
Cincinnati Bengals,DST,DS,206.5
Irv Smith Jr.,CIN,TE,207.3
Greg Zuerlein,NYJ,K1,178
Jacksonville Jaguars,DST,DS,209.8
Cameron Dicker,LAC,K1,210.5
Denver Broncos,DST,DS,212.8
Zach Ertz,ARI,TE,213.5
Cleveland Browns,DST,DS,186.3
Donovan Peoples-Jones,CLE,WR,215.8
Jason Sanders,MIA,K1,216.3
Jake Moody,SF,K1,216.8
Roschon Johnson,CHI,RB,217.5
Hunter Renfrow,LV,WR,217.8
Hayden Hurst,CAR,TE,217.8
Gus Edwards,BAL,RB,218
Mac Jones,NE,QB,219.3
Jimmy Garoppolo,LV,QB,219.5
Kareem Hunt,,RB,219.8
Sam Howell,WAS,QB,220.5
Jayden Reed,GB,WR,221.3
Tyler Conklin,NYJ,TE,221.5
Eddy Pineiro,CAR,K1,151.5
Hunter Henry,NE,TE,229.5
Nick Folk,NE,K1,209.3
Tyjae Spears,TEN,RB,209.3
Kenneth Gainwell,PHI,RB,210.3
John Metchie III,HOU,WR,211
Chase Claypool,CHI,WR,234.3
